id,product_name,console,condition,status,saved_selected_market_value,saved_price_loose,saved_price_cib,pc_loose,pc_cib,pc_new,pc_graded,pc_selected_market_value,delta_selected,pc_product_id,pc_product_name,pc_platform,match_strategy,flag
294596f9-4811-4015-8168-74e75576a394,NFL Blitz 2003,GameCube,CIB,available,21.52,10.99,21.52,11.33,0,0,0,0,-21.52,3193,NFL Blitz 2003,Gamecube,title_platform,ok
0a828512-eff8-429f-997b-d8219ebb57b0,NFL Street,GameCube,CIB,available,47.49,39.73,47.49,40,0,0,0,0,-47.49,3447,NFL Street 2,Gamecube,title_platform,ok
12d49863-7d40-4301-9ace-327310de82a4,NFL Street 2,Xbox,CIB,available,15,12.22,15,12.18,0,0,0,0,-15,6474,NFL Street 2,Xbox,title_platform,ok
8e0207e6-9372-40f6-b419-32ce062e40b6,NFL Street 2,Xbox,CIB,available,15,12.22,15,12.18,0,0,0,0,-15,6474,NFL Street 2,Xbox,title_platform,ok
a0494282-1a31-47a9-9c41-06f4dcd3b72d,NHL 11,PlayStation 3,CIB,available,2.65,2.65,0,2.65,0,0,0,0,-2.65,21972,NHL 11,Playstation 3,stored_id,ok
3f5fe68c-6b9e-4a02-a76b-e05dcb78d82a,NHL 2001,PlayStation 2,CIB,available,8.21,3.26,8.21,3.26,0,0,0,0,-8.21,5594,NHL 2001,Playstation 2,stored_id,ok
20ce0234-fc2b-476e-aa76-82c5e4238669,NHL 2002,PlayStation 2,CIB,available,5.3,3.82,5.3,3.82,0,0,0,0,-5.3,5595,NHL 2002,Playstation 2,stored_id,ok
2f9cd6da-36bf-4467-9343-588b9c63adc8,NHL 2003,Xbox,CIB,available,5.11,2.59,5.11,2.59,0,0,0,0,-5.11,6476,NHL 2003,Xbox,stored_id,ok
a9bb3a5a-ce51-41c4-96a0-84a746f76f1c,NHL Hitz 2003,GameCube,CIB,available,37.91,19.17,37.91,21.61,0,0,0,0,-37.91,3455,NHL Hitz 2003,Gamecube,stored_id,ok
73723d13-fc8e-450c-b262-256861e7094d,Oni Rei: Fukkatsu,PlayStation,CIB,available,14.04,0,14.04,0,0,0,0,0,-14.04,4225195,Oni Rei: Fukkatsu,JP Playstation,stored_id,ok
e434248d-25bf-4222-897a-765b1712bd60,Overwatch Origins Edition,Xbox One,CIB,available,7.08,3.53,7.08,3.56,0,0,0,0,-7.08,36634,Overwatch Origins Edition,Xbox One,stored_id,ok
25b23cff-23f2-4288-a3a1-52043ddcb506,Overwatch Origins Edition,Xbox One,CIB,available,2.89,2.89,0,3.56,0,0,0,0,-2.89,36634,Overwatch Origins Edition,Xbox One,stored_id,ok
7ac4a4f6-7c79-4968-9bb4-5ba041f90ceb,PlayStation 2 8MB Memory Card,PlayStation 2,CIB,available,15.54,13.21,15.54,15.52,0,0,0,0,-15.54,4951,8MB Memory Card,Playstation 2,stored_id,ok
